Date,Time,Open,High,Low,Close,Volume,IO
20240924,14:38,7.95,7.95,7.95,7.95,151,2200.00
20240924,14:39,15.55,15.55,14.65,14.65,2150,2200.00
20240924,14:40,14.10,14.10,14.10,14.10,850,2200.00
20240924,14:41,14.20,14.20,14.20,14.20,50,2200.00
20240924,14:43,13.70,13.70,13.70,13.70,75,2200.00
20240924,14:45,13.15,13.15,13.15,13.15,275,2300.00
20240924,14:47,13.85,13.85,13.85,13.85,700,2200.00
20240924,14:48,13.45,14.25,13.45,14.25,750,2200.00
20240924,14:56,14.25,14.25,14.25,14.25,75,1775.00
20240924,14:57,14.20,14.20,14.20,14.20,50,1775.00
20240924,14:58,13.85,13.85,13.85,13.85,150,1775.00
20240924,15:00,13.00,13.00,13.00,13.00,675,1775.00
20240924,15:01,11.15,11.15,11.15,11.15,1975,1775.00
20240924,15:25,11.10,11.10,11.10,11.10,125,2825.00
20240924,15:28,11.15,11.15,11.15,11.15,100,2700.00
20240924,15:29,11.15,11.15,11.15,11.15,50,2700.00
20240925,09:20,11.60,11.60,11.60,11.60,251,2750.00
20240925,09:21,11.60,11.60,11.60,11.60,250,2750.00
20240925,09:35,9.05,9.05,9.05,9.05,150,3250.00
20240925,09:56,9.05,9.05,9.05,9.05,25,3250.00
20240925,10:00,11.60,11.60,11.60,11.60,500,3275.00
20240925,10:10,11.60,11.60,11.60,11.60,25,3775.00
20240925,10:38,11.45,11.45,11.45,11.45,25,3800.00
20240925,10:43,9.00,9.00,9.00,9.00,3800,3900.00
20240925,11:09,9.00,9.00,9.00,9.00,75,7600.00
20240925,11:13,9.00,9.00,9.00,9.00,25,7675.00
20240925,11:22,9.00,9.00,9.00,9.00,125,7700.00
20240925,11:27,9.00,9.00,9.00,9.00,50,7825.00
20240925,11:48,8.90,8.90,8.90,8.90,350,7875.00
20240925,11:49,8.85,8.85,8.85,8.85,75,8225.00
20240925,11:51,8.70,8.70,8.70,8.70,100,8225.00
20240925,11:54,8.70,8.70,8.70,8.70,100,8250.00
20240925,11:55,8.75,8.75,8.75,8.75,25,8250.00
20240925,12:23,8.85,8.85,8.85,8.85,25,8250.00
20240925,12:33,8.85,8.85,8.85,8.85,100,8250.00
20240925,12:36,8.85,8.85,8.85,8.85,225,8325.00
20240925,12:43,8.85,8.85,8.85,8.85,300,8325.00
20240925,12:53,8.85,8.85,8.85,8.85,25,8325.00
20240925,12:57,8.85,8.85,8.85,8.85,125,8325.00
20240925,13:08,8.85,8.85,8.85,8.85,925,8325.00
20240925,14:28,8.90,8.90,8.90,8.90,25,8400.00
20240925,14:30,8.90,8.90,8.90,8.90,25,8425.00
20240925,14:40,8.90,8.90,8.90,8.90,25,8450.00
20240925,14:46,8.90,8.90,8.90,8.90,75,8475.00
20240925,15:00,8.85,8.85,8.85,8.85,50,8550.00
20240925,15:06,8.90,8.90,8.90,8.90,5000,8575.00
20240925,15:18,8.90,8.90,8.90,8.90,25,13575.00
20240925,15:21,8.90,8.90,8.90,8.90,25,13600.00
20240925,15:22,8.60,8.60,8.60,8.60,100,13600.00
20240925,15:25,8.60,8.60,8.60,8.60,25,13550.00
20240925,15:29,8.55,8.55,8.55,8.55,225,13575.00
20240926,09:17,10.10,10.10,9.80,9.80,102,13600.00
20240926,09:19,9.80,9.80,9.80,9.80,25,13700.00
20240926,09:25,10.10,10.10,10.10,10.10,25,13700.00
